Data_Set_Name,Algorithm_Name,Measure,Value
GermanCreditSex,LFRanking,DIR,1.1074222215546017
GermanCreditSex,LFRanking,FairnessAtK,1.0
ProPublicaRace,Color-Blind,MAP,1.0
ProPublicaRace,Color-Blind,NDCG@1,1.0
ProPublicaRace,Color-Blind,NDCG@5,1.0
ProPublicaRace,Color-Blind,NDCG@10,1.0
ProPublicaRace,Color-Blind,rKL,0.1775983242115143
ProPublicaRace,Color-Blind,DTR,0.8547870871005352
ProPublicaRace,Color-Blind,DIR,0.9629659430938726
ProPublicaRace,Color-Blind,FairnessAtK,0.275
ProPublicaRace,FeldmanEtAl,MAP,0.0
ProPublicaRace,FeldmanEtAl,NDCG@1,0.9823432924734419
ProPublicaRace,FeldmanEtAl,NDCG@5,0.9888615854144576
ProPublicaRace,FeldmanEtAl,NDCG@10,0.9866676911619755
ProPublicaRace,FeldmanEtAl,rKL,0.06615356602694787
ProPublicaRace,FeldmanEtAl,DTR,0.63003495181013
ProPublicaRace,FeldmanEtAl,DIR,0.7706536339960475
ProPublicaRace,FeldmanEtAl,FairnessAtK,1.0
ProPublicaRace,FOEIR-DPC,MAP,1.0
ProPublicaRace,FOEIR-DPC,NDCG@1,1.0
ProPublicaRace,FOEIR-DPC,NDCG@5,1.0
ProPublicaRace,FOEIR-DPC,NDCG@10,1.0
ProPublicaRace,FOEIR-DPC,rKL,0.1775983242115143
ProPublicaRace,FOEIR-DPC,DTR,0.8547870871005352
ProPublicaRace,FOEIR-DPC,DIR,0.9629659430938726
ProPublicaRace,FOEIR-DPC,FairnessAtK,0.275
ProPublicaRace,FOEIR-DTC,MAP,1.0
ProPublicaRace,FOEIR-DTC,NDCG@1,1.0
ProPublicaRace,FOEIR-DTC,NDCG@5,1.0
ProPublicaRace,FOEIR-DTC,NDCG@10,1.0
ProPublicaRace,FOEIR-DTC,rKL,0.1775983242115143
ProPublicaRace,FOEIR-DTC,DTR,0.8547870871005352
ProPublicaRace,FOEIR-DTC,DIR,0.9629659430938726
ProPublicaRace,FOEIR-DTC,FairnessAtK,0.275
ProPublicaRace,FOEIR-DIC,MAP,1.0
ProPublicaRace,FOEIR-DIC,NDCG@1,1.0
